Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #
DEBIT,12/19/2017,POS DEBIT                UNICORN/NARWHAL           SEATTLE      WA,-6.5,MISC_DEBIT, ,
DEBIT,12/19/2017,POS DEBIT                UNICORN/NARWHAL           SEATTLE      WA,-20,MISC_DEBIT, ,
DEBIT,12/18/2017,PAYPAL           INST XFER  PARKMOBILE      WEB ID: PAYPALSI77,-2.25,ACH_DEBIT,1099.82,
DEBIT,12/18/2017,PAYPAL           INST XFER  XSOLLA          WEB ID: PAYPALSI77,-4.99,ACH_DEBIT,1102.07,
DEBIT,12/18/2017,FRED MEYE FRED MEYER 0 BELLINGHAM WA         12/16,-24.03,DEBIT_CARD,1107.06,
DEBIT,12/18/2017,THE ROYAL INN BELLINGHAM WA                  12/16,-9.5,DEBIT_CARD,1131.09,
DEBIT,12/18/2017,PEL MENI BELLINGHAM WA                       12/15,-17,DEBIT_CARD,1140.59,
DEBIT,12/18/2017,AUNTIE ANNES FERNDALE WA                     12/15,-6.51,DEBIT_CARD,1157.59,
DEBIT,12/18/2017,ARAMARK ZOES BOOKSIDE B BELLINGHAM WA        12/15,-5.82,DEBIT_CARD,1164.1,
DEBIT,12/18/2017,SECOND TIME AROUND COMP BELLINGHAM WA        12/13,-108.7,DEBIT_CARD,1169.92,
DEBIT,12/15/2017,GAMESTOP #4331 1 BELLI BELLINGHAM WA 621444  12/15,-14.12,DEBIT_CARD,1278.62,
DEBIT,12/14/2017,PAYPAL           INST XFER  PARKMOBILE      WEB ID: PAYPALSI77,-2.25,ACH_DEBIT,1292.74,
DEBIT,12/14/2017,ARAMARK VIKING UNION CA BELLINGHAM WA        12/12,-3.86,DEBIT_CARD,1294.99,
DEBIT,12/13/2017,PAYPAL           INST XFER  PARKMOBILE      WEB ID: PAYPALSI77,-8.25,ACH_DEBIT,1298.85,
DEBIT,12/13/2017,PAYPAL           INST XFER  FANDANGOMED     WEB ID: PAYPALSI77,-14.5,ACH_DEBIT,1307.1,
DEBIT,12/13/2017,FRED MEYE FRED MEYER 0 BELLINGHAM WA         12/13,-82.75,DEBIT_CARD,1321.6,
CREDIT,12/13/2017,"RAISER,LLC       EDI PAYMNT 34WMZPD2QEOEUX1 CCD ID: 1800896455",6.58,ACH_CREDIT,1404.35,
DEBIT,12/12/2017,WWU EMARKETS 360-650-3720 WA                 12/11,-22,DEBIT_CARD,1397.77,
DEBIT,12/12/2017,APL* ITUNES.COM/BILL 866-712-7753 CA         12/11,-16.29,DEBIT_CARD,1419.77,
DEBIT,12/12/2017,ARAMARK ZOES BOOKSIDE B BELLINGHAM WA        12/10,-12.87,DEBIT_CARD,1436.06,
CREDIT,12/12/2017,KEY CR. TRANSFER ONLINE-BK  017345595781024 WEB ID: 9000000008,1150,ACH_CREDIT,1448.93,
DSLIP,12/12/2017,REMOTE ONLINE DEPOSIT #          1,53.99,CHECK_DEPOSIT,298.93,1
DEBIT,12/11/2017,PAYPAL           INST XFER  XSOLLA          WEB ID: PAYPALSI77,-4.99,ACH_DEBIT,244.94,
DEBIT,12/11/2017,76 - STARVIN SAMS 14 BELLINGHAM WA           12/11,-46.09,DEBIT_CARD,249.93,
DEBIT,12/11/2017,DICK'S DRIVE-IN WALLING SEATTLE WA           12/10,-12.55,DEBIT_CARD,296.02,
DEBIT,12/11/2017,COMMUNITY FOOD CO-OP - BELLINGHAM WA 807936  12/09,-15.14,DEBIT_CARD,308.57,
DEBIT,12/11/2017,ARAMARK MILLER MARKET P BELLINGHAM WA        12/08,-5.68,DEBIT_CARD,323.71,
CREDIT,12/11/2017,VENMO            CASHOUT                    PPD ID: 5264681992,10,ACH_CREDIT,329.39,
DEBIT,12/8/2017,RITE AID STORE - 5238 BELLINGHAM WA  341188  12/08,-10,DEBIT_CARD,319.39,
DEBIT,12/7/2017,COMMUNITY FOOD CO-OP - BELLINGHAM WA 679935  12/07,-6.45,DEBIT_CARD,329.39,
DEBIT,12/6/2017,VENMO            PAYMENT    795883569       WEB ID: 3264681992,-17.03,ACH_DEBIT,335.84,
DEBIT,12/6/2017,TRANSFER TO SAV XXXXX9660 12/06,-25,ACCT_XFER,352.87,
DEBIT,12/6/2017,WWU EMARKETS 360-650-3720 WA                 12/05,-36,DEBIT_CARD,377.87,
DEBIT,12/5/2017,WWU EMARKETS 360-650-3720 WA                 12/04,-36,DEBIT_CARD,413.87,
DEBIT,12/4/2017,PAYPAL           INST XFER  PATREON         WEB ID: PAYPALSI77,-2,ACH_DEBIT,449.87,
DEBIT,12/4/2017,350.ORG 646-801-0759 NY                      12/01,-10,DEBIT_CARD,451.87,
DEBIT,12/4/2017,HAGGEN #3449 BELLINGHAM WA           215065  12/02,-23.33,DEBIT_CARD,461.87,
DEBIT,12/4/2017,76 - STARVIN SAMS 14 BELLINGHAM WA           12/01,-44.01,DEBIT_CARD,485.2,
DEBIT,12/1/2017,HAGGEN #3449 BELLINGHAM WA           866940  12/01,-30.53,DEBIT_CARD,529.21,
DEBIT,12/1/2017,HAGGEN #3449 BELLINGHAM WA           488646  12/01,-26.36,DEBIT_CARD,559.74,
DEBIT,12/1/2017,Online Transfer to  SAV ...9660 transaction#: 6633513773,-50,ACCT_XFER,586.1,
DEBIT,11/30/2017,PAYPAL           INST XFER  WIKIMEDIAFO     WEB ID: PAYPALSI77,-5,ACH_DEBIT,636.1,
DEBIT,11/30/2017,WWU PRINT AND COPY SERV BELLINGHAM WA        11/29,-35,DEBIT_CARD,641.1,
DEBIT,11/29/2017,FRED MEYE FRED MEYER 0 BELLINGHAM WA         11/29,-120.34,DEBIT_CARD,676.1,
DSLIP,11/29/2017,REMOTE ONLINE DEPOSIT #          1,12,CHECK_DEPOSIT,796.44,1
DEBIT,11/28/2017,VENMO            PAYMENT    782375982       WEB ID: 3264681992,-14.5,ACH_DEBIT,784.44,
CREDIT,11/28/2017,Square Inc       Squar      T20022795848    CCD ID: 8800429876,10,ACH_CREDIT,798.94,
DSLIP,11/28/2017,REMOTE ONLINE DEPOSIT #          1,47.99,CHECK_DEPOSIT,788.94,1
DEBIT,11/27/2017,PAYPAL           INST XFER  NEKOKIN         WEB ID: PAYPALSI77,-535,ACH_DEBIT,740.95,
DEBIT,11/27/2017,ZANE BURGERS BELLINGHAM WA                   11/26,-10.52,DEBIT_CARD,1275.95,
DEBIT,11/27/2017,SUNSET CAR WASH BELLINGHAM WA                11/25,-10,DEBIT_CARD,1286.47,
DEBIT,11/24/2017,ELSEVIER INC CHARGE 800-------- MO           11/24,-38.05,DEBIT_CARD,1296.47,
DEBIT,11/24/2017,76 - STARVIN SAMS 14 BELLINGHAM WA           11/22,-20.21,DEBIT_CARD,1334.52,
DEBIT,11/24/2017,ROOK AND ROGUE BOARD GA BELLINGHAM WA        11/21,-18.31,DEBIT_CARD,1354.73,
CREDIT,11/24/2017,KEY CR. TRANSFER ONLINE-BK  017326295062509 WEB ID: 9000000008,1150,ACH_CREDIT,1373.04,
DEBIT,11/22/2017,HAGGEN #3449 BELLINGHAM WA           886900  11/21,-14.82,DEBIT_CARD,223.04,
DEBIT,11/22/2017,ARAMARK VIKING UNION MA BELLINGHAM WA        11/20,-5.2,DEBIT_CARD,237.86,
DEBIT,11/22/2017,ARAMARK TOPIOS BELLINGHAM WA                 11/20,-7.91,DEBIT_CARD,243.06,
DEBIT,11/21/2017,FOREIGN EXCHANGE RATE ADJUSTMENT FEE         11/18SHELL 431,-1.7,FEE_TRANSACTION,250.97,
DEBIT,11/21/2017,SHELL 4314 WEST 10 AVEN VANCOUVER. BC        11/18 CA DOLLAR  72.34 X 0.7842134 (EXCHG RTE),-56.73,DEBIT_CARD,252.67,
CREDIT,11/21/2017,VENMO            CASHOUT                    PPD ID: 5264681992,20,ACH_CREDIT,309.4,
