Gene ID,Fold change (Ketamine vs. Vehicle),P-value (Ketamine vs. Vehicle),,Fold change (L655 vs. Vehicle),P-value (L655 vs. Vehicle),,,,,
43526.00,1.02,0.78,,-1.08,0.13,,,,,
43529.00,1.32,0.01,,1.68,0.00,,,,,
43530.00,1.19,0.07,,1.70,0.00,,,,,
43533.00,-1.09,0.03,,-1.12,0.01,,,,,
43710.00,1.31,0.01,,1.39,0.00,,,,,
43711.00,1.56,0.00,,1.49,0.00,,,,,
43712.00,1.20,0.03,,-1.13,0.14,,,,,
43713.00,1.08,0.15,,1.02,0.68,,,,,
43715.00,1.20,0.17,,1.73,0.00,,,,,
43716.00,1.29,0.00,,1.22,0.01,,,,,
43723.00,-1.03,0.57,,1.01,0.88,,,,,
Aak1,1.37,0.00,,1.70,0.00,,,,,
Aamp,-1.06,0.19,,-1.09,0.05,,,,,
Aar2,1.35,0.00,,1.34,0.00,,,,,
Aars,1.09,0.13,,1.13,0.03,,,,,
Aarsd1,-1.08,0.14,,-1.12,0.03,,,,,
Aasdhppt,1.19,0.07,,1.61,0.00,,,,,
Aatk,1.38,0.00,,1.22,0.04,,,,,
Abca2,1.38,0.01,,1.33,0.01,,,,,
Abca7,1.51,0.01,,1.53,0.01,,,,,
Abcb6,1.33,0.01,,1.15,0.13,,,,,
Abcb8,1.28,0.01,,1.23,0.02,,,,,
Abcb9,1.15,0.05,,1.07,0.30,,,,,
Abcd3,1.14,0.05,,1.28,0.00,,,,,
Abce1,1.20,0.04,,1.56,0.00,,,,,
Abcf1,1.24,0.01,,1.20,0.02,,,,,
Abcf2,1.07,0.12,,1.07,0.12,,,,,
Abcf3,1.17,0.01,,1.10,0.06,,,,,
Abcg4,1.07,0.31,,1.14,0.04,,,,,
Abhd1,1.03,0.63,,-1.08,0.30,,,,,
Abhd11,-1.05,0.39,,-1.16,0.01,,,,,
Abhd12,1.03,0.46,,1.01,0.89,,,,,
Abhd13,1.31,0.01,,1.64,0.00,,,,,
Abhd14b,1.02,0.89,,1.02,0.82,,,,,
Abhd16a,1.10,0.09,,1.00,0.94,,,,,
Abhd17a,-1.03,0.60,,-1.15,0.02,,,,,
Abhd3,1.17,0.04,,1.15,0.07,,,,,
Abhd4,1.14,0.06,,-1.01,0.92,,,,,
Abhd6,1.16,0.04,,1.26,0.01,,,,,
Abhd8,-1.05,0.34,,-1.16,0.01,,,,,
Abi1,1.22,0.08,,1.62,0.00,,,,,
Abi2,1.49,0.00,,1.95,0.00,,,,,
Abr,1.29,0.00,,1.43,0.00,,,,,
Abracl,-1.03,0.80,,-1.01,0.91,,,,,
Abt1,-1.05,0.35,,-1.07,0.20,,,,,
Abtb1,-1.01,0.81,,-1.05,0.40,,,,,
Acaa1a,1.08,0.18,,1.01,0.94,,,,,
Acad9,1.18,0.01,,1.25,0.00,,,,,
Acads,-1.06,0.46,,-1.02,0.83,,,,,
Acadvl,1.17,0.04,,1.07,0.29,,,,,
Acap3,1.22,0.01,,1.25,0.01,,,,,
Acat1,1.05,0.37,,-1.05,0.34,,,,,
Acbd4,1.06,0.35,,-1.15,0.04,,,,,
Acd,1.07,0.27,,-1.03,0.71,,,,,
Ache,1.05,0.35,,1.00,0.93,,,,,
Acin1,1.21,0.01,,1.26,0.00,,,,,
Ackr3,1.15,0.08,,1.18,0.03,,,,,
Acly,1.17,0.04,,1.30,0.00,,,,,
Aco2,1.09,0.07,,1.12,0.03,,,,,
Acot13,-1.07,0.26,,-1.11,0.12,,,,,
Acot2,-1.09,0.20,,1.01,0.81,,,,,
Acot3,1.08,0.17,,1.11,0.10,,,,,
Acot7,-1.18,0.00,,-1.15,0.01,,,,,
Acot8,-1.07,0.22,,-1.27,0.00,,,,,
Acox1,1.55,0.00,,1.60,0.00,,,,,
Acp1,-1.01,0.88,,1.09,0.12,,,,,
Acp2,1.15,0.05,,1.22,0.01,,,,,
Acsbg1,1.20,0.04,,1.21,0.03,,,,,
