Gene ID,Fold change (Ketamine vs. Vehicle),P-value (Ketamine vs. Vehicle),Fold change (L655 vs. Vehicle),P-value (L655 vs. Vehicle)
Actr2,1.79,0.0,2.09,0.0
Akap11,1.52,0.0,2.36,0.0
Akap5,1.95,0.0,2.68,0.0
Amigo1,1.96,0.0,2.15,0.0
Ankrd52,2.68,0.0,3.02,0.0
Aoc2-ps1,2.03,0.0,2.58,0.0
Apc,2.13,0.0,2.45,0.0
Arhgap5,2.21,0.0,4.44,0.0
Asb1,2.26,0.0,2.32,0.0
Atp2b1,1.74,0.0,2.17,0.0
B3galt1,1.68,0.0,2.44,0.0
Baz2a,2.05,0.0,2.17,0.0
Btbd3,1.99,0.0,2.26,0.0
Ccnd2,2.22,0.0,2.23,0.0
Ccnl2,1.85,0.0,2.07,0.0
Cdkl2,1.56,0.01,2.02,0.0
Celf1,2.07,0.0,2.62,0.0
Celsr2,1.66,0.0,2.09,0.0
Chd5,1.96,0.0,2.42,0.0
Cplx2,2.36,0.0,2.16,0.0
Ddx3,1.65,0.0,2.2,0.0
Ddx3x,1.44,0.01,2.11,0.0
Dhx9,1.48,0.01,2.08,0.0
Dnm1l,1.7,0.0,2.34,0.0
Dsel,1.1,0.54,2.17,0.0
Enpp2,1.05,0.52,-3.34,0.28
Epm2aip1,1.37,0.02,2.04,0.0
Fem1b,1.77,0.0,2.27,0.0
Flrt1,1.34,0.02,2.03,0.0
Gabra1,1.17,0.21,2.01,0.0
Gpr17,2.42,0.0,2.23,0.0
Gtf3c4,1.9,0.0,2.47,0.0
Hrh2,2.17,0.01,2.32,0.0
Hyal1,2.33,0.01,2.47,0.01
Igfbp2,1.02,1.0,-2.54,0.21
Igfbp5,2.1,0.0,2.49,0.0
Kcna1,2.72,0.0,2.98,0.0
Kcna2,3.72,0.0,4.97,0.0
Kcna3,2.69,0.0,3.58,0.0
Kcnj2,1.7,0.0,2.25,0.0
Kcnq2,2.46,0.0,2.66,0.0
Kcns2,1.96,0.0,2.16,0.0
Kif1b,2.42,0.0,3.14,0.0
Kif5a,2.18,0.0,2.21,0.0
Kif5b,1.88,0.0,2.14,0.0
Kif5c,2.14,0.0,2.24,0.0
Klhl11,2.12,0.0,2.97,0.0
Klhl24,1.54,0.0,2.07,0.0
Kpna6,1.82,0.0,2.1,0.0
LOC317456,2.15,0.0,2.81,0.0
LOC500028,1.94,0.0,2.1,0.0
Lrrc8b,2.2,0.0,2.47,0.0
Map2,2.5,0.0,3.08,0.0
Mdk,-1.48,0.57,-4.35,0.03
Mfap3l,2.36,0.0,2.65,0.0
Miat,2.28,0.0,2.26,0.0
Mis12,1.96,0.0,3.06,0.0
Mlec,2.11,0.0,2.2,0.0
Msx1,-1.12,0.7,-2.11,0.19
Mtmr9,2.06,0.0,2.42,0.0
Mturn,2.04,0.0,2.09,0.0
Napb,2.2,0.0,2.54,0.0
Ncan,1.9,0.0,2.03,0.0
Nt5dc3,2.21,0.0,2.17,0.0
Pafah1b1,1.51,0.0,2.11,0.0
Pank3,1.39,0.01,2.03,0.0
Paqr8,1.97,0.0,2.1,0.0
Pip4k2b,1.98,0.0,2.18,0.0
Prpf4b,1.57,0.0,2.03,0.0
Prrc2c,1.59,0.01,2.15,0.0
Purb,2.19,0.0,2.7,0.0
Ranbp2,1.49,0.01,2.4,0.0
Rasgrp1,1.73,0.0,2.14,0.0
RGD1310429,1.7,0.0,2.06,0.0
RGD1561931,1.45,0.01,2.45,0.0
Rnasel,1.97,0.0,2.02,0.0
Sc5d,1.71,0.0,2.05,0.0
Scarb2,2.07,0.0,2.12,0.0
Scn2b,1.93,0.0,2.08,0.0
Secisbp2l,1.83,0.0,2.06,0.0
Slc24a2,2.17,0.0,2.72,0.0
Slc30a10,1.97,0.0,2.08,0.0
Slitrk2,1.5,0.01,2.09,0.0
Slitrk4,1.57,0.0,2.46,0.0
Smcr8,2.77,0.0,3.33,0.0
Son,1.74,0.0,2.22,0.0
Srcin1,1.98,0.0,2.01,0.0
Srrm2,1.87,0.0,2.08,0.0
St8sia3,2.34,0.0,3.14,0.0
Syngr1,1.85,0.0,2.12,0.0
Tbc1d24,1.85,0.0,2.08,0.0
Tmem30a,1.39,0.01,2.25,0.0
Tmf1,1.72,0.0,2.01,0.0
Tppp,2.37,0.0,2.39,0.0
Trank1,1.87,0.0,2.36,0.0
Ttc14,1.95,0.0,2.6,0.0
Ttr,-1.71,0.92,-119.68,0.07
Tub,1.98,0.0,2.46,0.0
Uhmk1,2.27,0.0,3.07,0.0
Unc13a,2.1,0.0,2.25,0.0
Usp7,1.7,0.0,2.02,0.0
Vcpip1,1.98,0.0,2.49,0.0
Vof16,4.16,0.0,4.09,0.0
Xpo1,1.46,0.01,2.14,0.0
Yipf6,1.63,0.0,2.23,0.0
Yod1,1.8,0.04,2.11,0.01
Zbtb38,1.98,0.0,2.37,0.0
Zdhhc23,2.11,0.0,2.25,0.0
Zfp189,1.82,0.0,2.12,0.0
Zfp281,1.7,0.0,2.07,0.0
Zfp319,1.95,0.0,2.07,0.0
Zfp483,2.12,0.0,2.65,0.0
Zfp597,1.76,0.01,2.91,0.0
Zfp68,1.35,0.03,2.15,0.0
