Gene ID,Fold change (Ketamine vs. Vehicle),P-value (Ketamine vs. Vehicle),Fold change (L655 vs. Vehicle),P-value (L655 vs. Vehicle)
43526.00,1.02,0.78,-1.08,0.13
43529.00,1.32,0.01,1.68,0.0
43530.00,1.19,0.07,1.7,0.0
43533.00,-1.09,0.03,-1.12,0.01
43710.00,1.31,0.01,1.39,0.0
43711.00,1.56,0.0,1.49,0.0
43712.00,1.2,0.03,-1.13,0.14
43713.00,1.08,0.15,1.02,0.68
43715.00,1.2,0.17,1.73,0.0
43716.00,1.29,0.0,1.22,0.01
43723.00,-1.03,0.57,1.01,0.88
Aak1,1.37,0.0,1.7,0.0
Aamp,-1.06,0.19,-1.09,0.05
Aar2,1.35,0.0,1.34,0.0
Aars,1.09,0.13,1.13,0.03
Aarsd1,-1.08,0.14,-1.12,0.03
Aasdhppt,1.19,0.07,1.61,0.0
Aatk,1.38,0.0,1.22,0.04
Abca2,1.38,0.01,1.33,0.01
Abca7,1.51,0.01,1.53,0.01
Abcb6,1.33,0.01,1.15,0.13
Abcb8,1.28,0.01,1.23,0.02
Abcb9,1.15,0.05,1.07,0.3
Abcd3,1.14,0.05,1.28,0.0
Abce1,1.2,0.04,1.56,0.0
Abcf1,1.24,0.01,1.2,0.02
Abcf2,1.07,0.12,1.07,0.12
Abcf3,1.17,0.01,1.1,0.06
Abcg4,1.07,0.31,1.14,0.04
Abhd1,1.03,0.63,-1.08,0.3
Abhd11,-1.05,0.39,-1.16,0.01
Abhd12,1.03,0.46,1.01,0.89
Abhd13,1.31,0.01,1.64,0.0
Abhd14b,1.02,0.89,1.02,0.82
Abhd16a,1.1,0.09,1.0,0.94
Abhd17a,-1.03,0.6,-1.15,0.02
Abhd3,1.17,0.04,1.15,0.07
Abhd4,1.14,0.06,-1.01,0.92
Abhd6,1.16,0.04,1.26,0.01
Abhd8,-1.05,0.34,-1.16,0.01
Abi1,1.22,0.08,1.62,0.0
Abi2,1.49,0.0,1.95,0.0
Abr,1.29,0.0,1.43,0.0
Abracl,-1.03,0.8,-1.01,0.91
Abt1,-1.05,0.35,-1.07,0.2
Abtb1,-1.01,0.81,-1.05,0.4
Acaa1a,1.08,0.18,1.01,0.94
Acad9,1.18,0.01,1.25,0.0
Acads,-1.06,0.46,-1.02,0.83
Acadvl,1.17,0.04,1.07,0.29
Acap3,1.22,0.01,1.25,0.01
Acat1,1.05,0.37,-1.05,0.34
Acbd4,1.06,0.35,-1.15,0.04
Acd,1.07,0.27,-1.03,0.71
Ache,1.05,0.35,1.0,0.93
Acin1,1.21,0.01,1.26,0.0
Ackr3,1.15,0.08,1.18,0.03
Acly,1.17,0.04,1.3,0.0
Aco2,1.09,0.07,1.12,0.03
Acot13,-1.07,0.26,-1.11,0.12
Acot2,-1.09,0.2,1.01,0.81
Acot3,1.08,0.17,1.11,0.1
Acot7,-1.18,0.0,-1.15,0.01
Acot8,-1.07,0.22,-1.27,0.0
Acox1,1.55,0.0,1.6,0.0
Acp1,-1.01,0.88,1.09,0.12
Acp2,1.15,0.05,1.22,0.01
Acsbg1,1.2,0.04,1.21,0.03
Acsl3,1.26,0.02,1.54,0.0
Acsl4,1.19,0.14,1.68,0.0
Acsl5,1.12,0.12,1.15,0.05
Acsl6,1.45,0.0,1.49,0.0
Acss2,1.14,0.07,1.13,0.07
Acta1,-1.09,0.31,-1.15,0.12
Actb,1.11,0.06,1.02,0.64
Actg1,1.03,0.38,1.06,0.1
Actl6b,-1.02,0.67,-1.04,0.4
Actn4,1.16,0.04,1.15,0.05
Actr10,1.12,0.08,1.2,0.01
Actr1a,1.09,0.06,1.07,0.14
Actr1b,1.12,0.07,1.07,0.21
Actr2,1.79,0.0,2.09,0.0
Actr3,1.11,0.17,1.28,0.0
Actr3b,1.12,0.12,1.09,0.2
Actr8,1.12,0.05,1.19,0.01
Acvrl1,1.23,0.07,1.13,0.23
Acy1,-1.02,0.77,-1.12,0.08
Acy3,1.17,0.21,-1.07,0.94
Adam11,1.94,0.0,1.79,0.0
Adam15,1.21,0.04,1.12,0.16
Adam1a,1.11,0.2,1.2,0.03
Adap1,1.11,0.07,1.02,0.73
Adar,1.68,0.0,2.0,0.0
Adarb1,1.46,0.0,1.46,0.0
Adat3,1.12,0.29,1.09,0.4
Adck2,1.44,0.0,1.17,0.07
Adcy3,1.28,0.02,1.3,0.01
Adcy6,1.26,0.02,1.41,0.0
Adcyap1,1.06,0.54,1.04,0.73
Adcyap1r1,1.23,0.02,1.43,0.0
Add1,1.21,0.0,1.19,0.01
Add3,1.24,0.01,1.36,0.0
Adgrb2,1.28,0.01,1.22,0.03
Adgrg1,1.06,0.42,1.14,0.11
Adgrl1,1.61,0.0,1.77,0.0
Adh5,1.04,0.46,1.03,0.48
Adhfe1,1.07,0.4,1.17,0.09
Adi1,-1.06,0.43,1.0,1.0
Adipor1,1.09,0.13,1.04,0.48
Adnp,1.21,0.02,1.52,0.0
Ado,1.24,0.05,1.45,0.0
Adora1,1.68,0.0,1.62,0.01
Adpgk,1.17,0.05,1.13,0.1
Adprh,-1.1,0.02,-1.11,0.02
Adprhl2,-1.07,0.22,-1.12,0.06
Adra1d,1.16,0.2,1.02,0.87
Adra2a,-1.17,0.18,1.22,0.14
Adra2c,-1.07,0.42,1.02,0.75
Adrb1,1.35,0.08,1.37,0.05
Adrm1,-1.03,0.32,-1.11,0.01
Adsl,1.08,0.19,1.04,0.51
Adss,1.13,0.23,1.37,0.01
Aebp1,1.96,0.2,1.49,0.36
Aen,1.05,0.4,1.09,0.19
Aes,-1.11,0.04,-1.3,0.0
Aff4,1.36,0.01,1.87,0.0
Afg3l2,1.13,0.08,1.16,0.03
Aftph,1.24,0.04,1.55,0.0
Aga,1.24,0.03,1.26,0.02
Agap2,1.37,0.0,1.26,0.01
Agap3,-1.0,0.93,-1.17,0.02
Agfg2,1.08,0.15,1.05,0.37
Ago1,1.4,0.0,1.61,0.0
Agpat1,1.03,0.53,-1.05,0.31
Agpat3,1.22,0.01,1.25,0.0
Agrn,1.45,0.0,1.57,0.0
Agt,-1.02,0.97,-1.15,0.2
Agtpbp1,1.38,0.0,1.57,0.0
Agtrap,1.42,0.0,1.3,0.02
Ahcy,-1.01,0.84,1.01,0.76
Ahcyl1,1.28,0.01,1.49,0.0
Ahdc1,1.21,0.04,1.31,0.01
Ahsa1,1.0,0.91,1.0,0.91
Ahsa2,-1.16,0.07,-1.07,0.44
Aida,1.12,0.23,1.24,0.03
Aif1,-1.14,0.05,-1.37,0.0
Aifm3,1.17,0.16,-1.03,0.97
Aimp1,-1.02,0.8,-1.03,0.68
Aimp2,-1.11,0.08,-1.16,0.02
Aip,-1.14,0.04,-1.27,0.0
Ak1,-1.06,0.13,-1.07,0.08
Ak3,1.09,0.15,1.1,0.1
Akap1,1.35,0.0,1.51,0.0
Akap11,1.52,0.0,2.36,0.0
Akap17a,1.03,0.54,-1.02,0.61
Akap2,1.45,0.0,1.74,0.0
Akap5,1.95,0.0,2.68,0.0
Akap8,1.34,0.0,1.46,0.0
Akap8l,1.42,0.0,1.23,0.03
Akirin1,1.05,0.47,1.22,0.01
Akirin2,1.04,0.61,1.24,0.02
Akr1a1,-1.04,0.24,-1.15,0.0
Akr1b1,-1.05,0.35,-1.1,0.08
Akr7a2,-1.15,0.01,-1.22,0.0
Akt1,1.23,0.01,1.16,0.05
