Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #
DEBIT,07/24/2018,"POS DEBIT                COLLEGE TRANSCRIPT       NORTHFIELD    IL",-14.00,MISC_DEBIT, ,,
DEBIT,07/24/2018,"POS DEBIT                BLENZ COFFEE WEST HAST   VANCOUVER     BC",-9.25,MISC_DEBIT, ,,
DEBIT,07/24/2018,"POS DEBIT                CITY OF VAN PAYBYPHONE   VANCOUVER     BC",-2.44,MISC_DEBIT, ,,
DEBIT,07/24/2018,"POS DEBIT                CITY OF VAN PAYBYPHONE   VANCOUVER     BC",-2.42,MISC_DEBIT, ,,
CREDIT,07/24/2018,"ORIG CO NAME:KEY CR. TRANSFER CO ENTRY DESCR:ONLINE-BK  SEC:WEB IND ID:018204563257666 ORIG ID:9000000008",1103.00,ACH_CREDIT, ,,
CREDIT,07/24/2018,"PYMT RCVD                PAYPAL*LOFTUS ALEXANDER   SAN JOSE     CA",572.75,MISC_CREDIT, ,,
DEBIT,07/23/2018,"THE HORSESHOE CAFE BELLINGHAM WA             07/21",-17.20,DEBIT_CARD,134.61,,
DEBIT,07/23/2018,"HAGGEN #3449 BELLINGHAM WA           416798  07/21",-39.22,DEBIT_CARD,151.81,,
DEBIT,07/23/2018,"HAGGEN #3449 BELLINGHAM WA           402487  07/20",-14.89,DEBIT_CARD,191.03,,
DEBIT,07/23/2018,"THE SANDWICH ODYSSEY BELLINGHAM WA           07/19",-13.00,DEBIT_CARD,205.92,,
DEBIT,07/23/2018,"THE ORION BELLINGHAM WA                      07/18",-6.00,DEBIT_CARD,218.92,,
DEBIT,07/19/2018,"COMCAST 8498300  013451212                  PPD ID: 0000213249",-69.97,ACH_DEBIT,224.92,,
DEBIT,07/19/2018,"Community Food Co-op - BELLINGHAM WA 419355  07/19",-6.45,DEBIT_CARD,294.89,,
DEBIT,07/18/2018,"MUTO RAMEN S IZAKAYA BE BELLINGHAM WA        07/16",-11.82,DEBIT_CARD,301.34,,
DEBIT,07/18/2018,"CITY OF BELLINGHAM PARK BELLINGHAM WA        07/16",-6.25,DEBIT_CARD,313.16,,
DEBIT,07/17/2018,"THE WOODS COFFEE RAILRO BELLINGHAM WA        07/16",-7.36,DEBIT_CARD,319.41,,
DEBIT,07/17/2018,"CITY OF BELLINGHAM PARK BELLINGHAM WA        07/16",-0.45,DEBIT_CARD,326.77,,
DEBIT,07/16/2018,"PAYPAL           INST XFER  ITUNESAPPST     WEB ID: PAYPALSI77",-16.29,ACH_DEBIT,327.22,,
DEBIT,07/16/2018,"RITE AID STORE - 5236 BELLINGHAM WA  466700  07/16",-14.44,DEBIT_CARD,343.51,,
DEBIT,07/16/2018,"WENDYS 9659 BELLINGHAM WA                    07/15",-10.51,DEBIT_CARD,357.95,,
DEBIT,07/16/2018,"NORTH CITY FOOD SHORELINE WA                 07/15",-43.11,DEBIT_CARD,368.46,,
DEBIT,07/16/2018,"SALTWATER DES MOINES WA                      07/13",-10.00,DEBIT_CARD,411.57,,
DEBIT,07/16/2018,"TACO TIME 128TH EVERETT WA                   07/13",-11.11,DEBIT_CARD,421.57,,
DSLIP,07/16/2018,"DEPOSIT  ID NUMBER 191094",100.00,DEPOSIT,432.68,,
DEBIT,07/13/2018,"AMAZON MKTPLACE PMTS AMZN.COM/BILL WA        07/12",-17.38,DEBIT_CARD,332.68,,
DEBIT,07/12/2018,"FIVE GUYS WA 1120 QSR LYNNWOOD WA            07/11",-14.32,DEBIT_CARD,350.06,,
DEBIT,07/12/2018,"Amazon.com AMZN.COM/BILL WA                  07/12",-19.64,DEBIT_CARD,364.38,,
DEBIT,07/12/2018,"AGUA VERDE CAFE SEATTLE WA                   07/10",-16.31,DEBIT_CARD,384.02,,
DEBIT,07/12/2018,"BLUE C SUSHI SEATTLE WA                      07/10",-6.83,DEBIT_CARD,400.33,,
DEBIT,07/11/2018,"CHEVRON/SALMON SERVICE SEATTLE WA    054868  07/11",-48.04,DEBIT_CARD,407.16,,
DEBIT,07/11/2018,"FLOWERS RESTAURANT SEATTLE WA                07/11",-6.50,DEBIT_CARD,455.20,,
DEBIT,07/11/2018,"LIMEBIKE 8778877815 CA                       07/10",-10.00,DEBIT_CARD,461.70,,
DEBIT,07/10/2018,"PAYPAL           INST XFER  XSOLLA          WEB ID: PAYPALSI77",-4.99,ACH_DEBIT,471.70,,
DEBIT,07/10/2018,"WA DOL LIC & REG 77458 SEATTLE WA    766788  07/10",-85.75,DEBIT_CARD,476.69,,
DEBIT,07/09/2018,"PAYPAL           INST XFER  KIGOSAI         WEB ID: PAYPALSI77",-9.50,ACH_DEBIT,562.44,,
DEBIT,07/09/2018,"FRED-MEYE FRED MEYER 0 BELLINGHAM WA         07/07 Purchase $5.09 Cash Back $20.00",-25.09,DEBIT_CARD,571.94,,
DEBIT,07/09/2018,"HP *INSTANT INK 855-785-2777 CA              07/07",-3.26,DEBIT_CARD,597.03,,
DEBIT,07/06/2018,"TRANSFER TO SAV XXXXX9660 07/06",-25.00,ACCT_XFER,600.29,,
DEBIT,07/05/2018,"CHEVRON/SALMON SERVICE SEATTLE WA    038243  07/05",-50.33,DEBIT_CARD,625.29,,
DEBIT,07/05/2018,"OREILLY AUTO #2 SEATTLE WA                   07/05",-17.60,DEBIT_CARD,675.62,,
DEBIT,07/03/2018,"PAYPAL           INST XFER  PATREON         WEB ID: PAYPALSI77",-2.00,ACH_DEBIT,693.22,,
DEBIT,07/03/2018,"FRED-MEYE FRED MEYER 0 BELLINGHAM WA         07/03",-71.09,DEBIT_CARD,695.22,,
