"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT08"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2018-01-01","8.72",,"0.00","0.0","0.0","36","44","31","   20","   20","15.0","17.0","    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2018-01-02","7.83",,"0.00","0.0","0.0","37","44","34","   30","   20","15.0","18.1",,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2018-01-03","8.72",,"0.00","0.0","0.0","39","49","33","   20","   30","13.0","17.0",,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2018-01-04","2.68",,"0.13","0.0","0.0","41","47","35","  120","   90","10.1","12.1","    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2018-01-05","6.49",,"0.51","0.0","0.0","46","51","45","  110","  110","19.9","23.9","    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2018-01-06","10.51",,"0.17","0.0","0.0","47","48","42","  220","  210","21.9","28.0","    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2018-01-07","6.04",,"0.33","0.0","0.0","44","45","41","  120","  140","14.1","19.0","    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2018-01-08","3.80",,"0.16","0.0","0.0","45","49","43","  110","  110","12.1","17.0","    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2018-01-09","8.50",,"0.18","0.0","0.0","45","50","43","  210","  210","19.9","25.1","    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2018-01-10","10.51",,"0.17","0.0","0.0","43","45","41","  190","  190","17.0","23.0","    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2018-01-11","9.84",,"1.12","0.0","0.0","44","50","42","  220","  200","18.1","25.1","    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2018-01-12","11.63",,"0.10","0.0","0.0","50","51","48","  210","  190","23.0","31.1","    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2018-01-13","6.71",,"0.01","0.0","0.0","50","58","45","   20","   20","15.0","18.1","    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2018-01-14","5.59",,"0.00","0.0","0.0","47","56","40","   20","   10","15.0","17.0","    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2018-01-15","8.72",,"0.06","0.0","0.0","48","64","41","  130","  120","21.9","29.1","    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2018-01-16","8.72",,"0.19","0.0","0.0","52","56","44","  190","  210","21.0","25.1","    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2018-01-17","9.17",,"0.43","0.0","0.0","49","56","45","  200","  200","25.9","33.1","    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2018-01-18","10.51",,"0.40","0.0","0.0","48","52","39","  270","  250","23.9","34.0","    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2018-01-19","11.18",,"0.03","0.0","0.0","42","46","38","  210","  210","21.9","28.0",,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2018-01-20","14.32",,"0.08","0.0","0.0","43","49","39","  170","  180","25.1","35.1","    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2018-01-21","17.90",,"0.11","0.0","0.0","48","51","39","  210","  210","30.0","40.9","    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2018-01-22","10.96",,"0.36","0.0","0.0","43","47","40","  200","  200","21.0","25.1","    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2018-01-23","8.50"," 2333","0.88","0.0","0.0","42","48","40","  160","  160","21.0","25.1",,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2018-01-24","10.07"," 1743","0.44","0.0","0.0","46","49","41","  220","  230","28.0","38.9",,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2018-01-25","10.07"," 2303","0.15","0.0","0.0","41","44","37","  180","  220","21.9","27.1",,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2018-01-26","11.41"," 0120","0.41","0.0","0.0","40","42","38","  210","  210","21.9","29.1",,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2018-01-27","14.99"," 1210","0.55","0.0","0.0","43","48","41","  220","  220","31.1","40.9",,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2018-01-28","8.50"," 1521","0.06","0.0","0.0","47","57","43","  190","  190","19.9","25.1",,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2018-01-29","11.63"," 1805","1.09","0.0","0.0","49","52","43","  190","  210","23.9","33.1",,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2018-01-30","14.09"," 1441","0.00","0.0","0.0","44","47","39","  200","  190","23.0","30.0",,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2018-01-31","11.41"," 1953","0.00","0.0","0.0","42","45","39","  200","  200","19.9","23.0",,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2018-02-01","7.16",,"0.57","0.0","0.0","44","46","43","  180","  190","13.0","17.0","    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2018-02-02","12.75",,"0.08","0.0","0.0","48","53","45","  210","  200","23.9","33.1","    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2018-02-03","11.41",,"0.14","0.0","0.0","49","51","48","  200","  190","21.9","27.1","    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2018-02-04","15.43",,"0.01","0.0","0.0","51","55","49","  200","  220","25.9","35.1",,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2018-02-05","11.63",,"0.03","0.0","0.0","49","50","46","  230","  230","21.9","29.1","    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2018-02-06","7.38",,"0.05","0.0","0.0","46","48","44","  200","  210","14.1","18.1","    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2018-02-07","7.16",,"0.00","0.0","0.0","49","54","47","  200","  190","17.0","21.0",,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2018-02-08","14.54",,"0.05","0.0","0.0","51","53","42","  220","  240","23.9","31.1","    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2018-02-09","6.71",,"0.00","0.0","0.0","44","49","39","  160","   10","17.0","19.9","    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2018-02-10","5.37"," 0216","0.00","0.0","0.0","40","46","33","   10","  360","16.1","21.0",,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2018-02-11","7.83"," 1614","0.00","0.0","0.0","39","46","33","  330","  330","19.9","25.9",,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2018-02-12","8.50"," 0153","0.00","0.0","0.0","39","47","32","  350","  350","18.1","21.9",,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2018-02-13","5.37"," 2156","0.14","0.0","0.0","37","48","29","  180","  160","17.0","23.0",,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2018-02-14","8.05"," 0327","0.10","0.0","0.0","40","44","37","  200","  200","19.9","23.9",,,
